id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
80,I,1.3,0.9875,0.3,18.71067,8.8733935,3.86970675,4.876114,9.0
81,M,0.9625,0.7,0.25,6.7755305,2.721552,1.7293195,2.26796,7.0
82,I,0.675,0.475,0.15,2.8632995,1.26155275,0.66621325,0.850485,5.0
83,M,1.625,1.3125,0.475,45.23162725,22.1976585,11.396499,12.757275,11.0
84,M,0.4375,0.3375,0.1125,0.9922325,0.35436875,0.226796,0.226796,5.0
85,I,1.25,0.975,0.3375,16.31513725,6.76135575,3.07592075,4.9611625,8.0
86,F,1.4625,1.15,0.45,28.7180435,12.34620725,5.8683465,8.3631025,11.0
87,I,1.25,0.95,0.3625,17.90270925,8.46232575,3.04757125,5.386405,8.0
88,M,1.575,1.175,0.3875,33.06969175,18.5122235,7.10154975,5.8116475,9.0
89,I,0.775,0.6125,0.2125,4.3941725,1.97029025,1.2757275,1.2757275,7.0
90,M,1.3625,1.05,0.4125,21.659018,8.32057825,4.53592,7.7961125,11.0
91,M,1.575,1.2125,0.375,36.457457,16.0174675,8.4198015,9.922325,12.0
92,M,1.625,1.275,0.3875,34.8415355,15.422128,8.00873375,9.07184,12.0
93,F,1.7375,1.3,0.4625,47.18774275,16.96717575,10.7444605,12.8990225,21.0
94,I,0.9875,0.75,0.225,9.7238785,4.0539785,1.80019325,2.438057,7.0
95,I,1.375,1.075,0.3875,23.51591025,10.149121,5.7549485,6.76135575,9.0
96,F,1.65,1.2875,0.5125,46.67745175,20.62426125,9.17106325,12.0485375,12.0
97,F,1.425,1.1125,0.375,27.499015,11.15552825,5.5281525,8.221355,13.0
98,M,1.5,1.1375,0.4125,32.89959475,15.80484625,7.41339425,8.788345,9.0
99,F,1.325,1.05,0.325,22.0275615,8.43397625,5.17378375,6.80388,9.0
100,M,1.5,1.2125,0.4,31.6096925,12.94154675,6.67630725,10.0640725,13.0
101,M,1.45,1.075,0.3625,23.51591025,10.61688775,5.8683465,6.23689,9.0
102,M,1.3125,0.95,0.3,16.5277585,7.824462,4.03980375,5.216308,8.0
103,I,0.9125,0.675,0.225,5.82582225,2.0128145,1.077281,1.757669,7.0
104,F,1.6,1.3125,0.4,33.29648775,14.911837,7.1724235,9.63883,8.0
105,M,1.3125,1.0375,0.325,18.86659225,7.0590255,4.15320175,5.953395,13.0
106,I,1.2625,1.0125,0.375,19.674553,8.71747125,4.8477645,5.17378375,8.0
107,M,1.525,1.1875,0.3125,31.79396425,14.3164975,8.1363065,8.9300925,10.0
108,M,1.475,1.225,0.3875,31.62386725,13.2959155,6.747181,9.1001895,15.0
109,I,1.025,0.75,0.225,8.107957,3.9972795,1.85689225,2.4097075,7.0
110,F,0.95,0.725,0.25,6.0384435,2.7499015,1.31825175,2.1262125,6.0
111,I,1.375,1.0625,0.325,19.4761065,9.2135875,3.86970675,5.953395,8.0
112,F,1.4125,1.1,0.4,29.24250925,11.35397475,5.74077375,9.922325,11.0
113,M,1.4125,1.1,0.3875,29.01571325,14.35902175,5.5281525,7.7961125,10.0
114,M,1.325,1.025,0.375,19.43358225,8.50485,4.60679375,5.6699,10.0
115,F,1.675,1.375,0.4375,43.885026,19.6462035,10.4609655,12.47378,11.0
116,M,1.6125,1.25,0.4,34.9549335,13.947954,7.654365,9.4970825,11.0
117,M,1.375,1.075,0.3125,22.2543575,8.40562675,4.32329875,6.180191,12.0
118,M,1.4125,1.1,0.4,24.5790165,11.736693,5.06038575,6.80388,8.0
119,I,1.0,0.775,0.25,7.10154975,3.01922175,1.7293195,2.1262125,8.0
120,I,0.9375,0.7125,0.2375,6.47786075,2.65067825,1.48834875,2.1262125,7.0
121,I,1.0375,0.8125,0.25,10.21999475,4.35164825,2.26796,2.9766975,9.0
122,M,1.425,1.15,0.425,26.12406425,11.15552825,5.8683465,6.80388,8.0
123,F,1.55,1.225,0.4125,28.02348075,11.12717875,6.293589,8.0796075,9.0
124,F,1.575,1.225,0.4125,32.44600275,12.6155275,7.200773,8.788345,11.0
125,I,1.1125,0.8375,0.325,12.870673,5.37223025,2.438057,4.3941725,11.0
126,I,1.1875,0.9,0.3125,13.04077,5.74077375,2.87747425,4.3941725,9.0
127,F,1.875,1.4,0.425,62.95006475,30.7025085,13.39513875,14.84096325,10.0
128,F,1.525,1.1875,0.375,32.6302745,15.40795325,6.4353365,6.917278,9.0
129,I,1.4625,1.0625,0.4125,23.700182,12.246984,5.51397775,6.19436575,9.0
130,F,1.3625,1.0125,0.375,22.8213475,9.90815025,5.25883225,6.19436575,8.0
131,I,1.0375,0.8125,0.25,10.02154825,4.422522,1.417475,2.9766975,11.0
132,F,1.475,1.1,0.375,24.1821235,10.716111,5.499803,7.37087,15.0
133,I,0.925,0.7125,0.225,6.30776375,2.56562975,1.80019325,2.1262125,6.0
134,I,1.0125,0.75,0.275,8.80251975,3.40194,1.48834875,2.4097075,6.0
135,M,1.75,1.4125,0.5,43.3463855,18.9091165,8.80251975,13.04077,13.0
136,M,1.6125,1.25,0.475,43.6298805,18.200379,10.9712565,11.4815475,11.0
137,I,1.0625,0.8125,0.2625,9.979024,4.03980375,1.6726205,2.83495,8.0
138,M,1.125,0.8375,0.2625,14.968536,6.180191,3.118445,3.96893,8.0
139,F,0.925,0.6875,0.2125,6.917278,2.664853,1.77184375,1.984465,13.0
140,M,1.5375,1.1875,0.475,37.15201975,16.24290325,9.39785925,10.20582,10.0
141,M,1.1875,0.925,0.325,12.74310025,5.65572525,2.93417325,3.685435,10.0
142,F,1.55,1.2,0.4375,34.8415355,17.4349425,7.75358825,9.4970825,9.0
143,I,0.95,0.725,0.225,7.1157245,3.515338,1.7293195,2.16873675,6.0
144,F,1.4125,1.1625,0.4625,25.41532675,10.24834425,6.7755305,7.7961125,9.0
145,I,1.15,0.8875,0.275,14.1464005,6.33611325,2.50893075,3.2601925,7.0
146,M,1.3875,1.0875,0.3625,24.437269,10.3475675,4.5075705,6.6621325,9.0
147,F,1.4125,1.1,0.4375,28.8314415,10.64523725,5.74077375,10.9145575,15.0
148,F,1.375,1.0125,0.3625,23.00561925,10.95708175,5.11708475,4.819415,9.0
149,I,1.2875,0.9875,0.3125,14.004653,6.2085405,2.7499015,4.3941725,8.0
150,I,1.45,1.125,0.375,24.79163775,11.58077075,4.706017,6.520385,8.0
151,I,1.1875,0.9125,0.3125,16.34348675,8.12213175,3.0333965,4.60679375,8.0
152,F,1.6625,1.35,0.4375,38.90968875,14.2030995,8.1363065,12.3320325,13.0
153,I,0.9125,0.675,0.2125,5.8116475,2.42388225,1.37495075,1.984465,6.0
154,M,1.55,1.25,0.4375,32.6869735,13.9763035,6.577084,10.489315,10.0
155,F,1.55,1.2,0.425,32.998818,14.16057525,7.72523875,11.056305,11.0
156,F,1.525,1.175,0.4375,32.24755625,15.1669825,7.47009325,10.4042665,10.0
157,I,1.0125,0.8,0.25,9.85145125,3.50116325,2.05533875,2.6932025,7.0
158,M,1.5375,1.25,0.4125,32.545226,14.52911875,8.03708325,7.7961125,11.0
159,M,1.3125,0.9625,0.3125,18.80989325,8.0796075,4.5075705,5.6699,10.0
160,F,1.925,1.5125,0.4875,71.11472075,34.91240925,14.84096325,16.556108,12.0
161,F,1.8,1.4125,0.5,59.6189985,28.10852925,13.60776,15.23785625,11.0
162,I,0.9375,0.7,0.2375,6.30776375,2.45223175,1.31825175,2.1262125,7.0
163,F,1.525,1.175,0.4,32.13415825,14.004653,6.3219385,8.278054,8.0
164,M,1.375,1.0625,0.425,23.9553275,10.149121,5.159609,5.5281525,8.0
165,M,1.6125,1.2625,0.4375,38.11590275,18.15785475,7.35669525,9.4970825,9.0
166,M,1.6125,1.25,0.475,41.8722115,16.5844575,8.43397625,12.757275,16.0
167,F,1.6125,1.25,0.4125,35.76289425,15.52135125,7.087375,9.07184,15.0
168,M,1.625,1.3,0.4375,36.55668025,16.6411565,8.561549,11.056305,9.0
169,I,1.0375,0.825,0.275,13.39513875,4.8477645,2.14038725,4.1106775,8.0
170,F,1.55,1.2125,0.4375,36.3157095,13.13999325,7.52679225,11.056305,19.0
171,F,1.475,1.15,0.4,26.09571475,10.8011595,6.6054335,7.1724235,9.0
172,M,1.4625,1.1625,0.4125,27.59823825,13.25339125,5.74077375,6.3786375,10.0
173,M,1.425,1.1,0.3875,25.92561775,10.829509,5.68407475,7.2291225,10.0
174,M,1.4375,1.125,0.425,25.51455,9.07184,6.010094,9.8939755,13.0
175,I,1.1375,0.85,0.25,14.911837,9.14271375,2.67902775,3.2601925,8.0
176,F,1.45,1.125,0.375,27.45649075,12.57300325,5.25883225,7.087375,10.0
177,I,0.75,0.55,0.175,3.6003865,1.474174,0.8221355,0.850485,7.0
178,I,0.725,0.575,0.225,3.6003865,1.40330025,0.793786,1.13398,6.0
179,I,1.2125,0.9375,0.3,15.4504775,6.0951425,3.0333965,4.819415,7.0
180,M,1.475,1.1875,0.3875,30.71668325,12.71475075,6.13766675,10.035723,10.0
181,I,0.875,0.65,0.225,5.00368675,2.16873675,1.020582,1.587572,6.0
182,F,1.4125,1.075,0.375,24.323871,10.432616,5.1879585,6.9456275,9.0
183,I,1.0125,0.75,0.3125,9.015141,3.50116325,1.70097,3.10427025,7.0
184,M,1.3625,1.05,0.3875,22.41027975,10.64523725,4.89028875,7.2291225,10.0
185,F,1.5875,1.225,0.4375,33.8776525,15.1669825,6.56290925,9.4970825,10.0
186,F,1.15,0.8875,0.3375,14.55746825,5.68407475,3.18931875,4.479221,17.0
187,M,1.5,1.2125,0.4125,30.8159065,14.5999925,5.06038575,8.1363065,10.0
188,I,1.125,0.875,0.3375,12.813974,5.613201,3.01922175,3.78465825,12.0
189,M,1.7125,1.325,0.475,43.6298805,18.653971,11.89261525,12.190285,9.0
190,F,1.425,1.125,0.3625,27.725811,10.16329575,5.8683465,7.5126175,14.0
191,M,1.8,1.4125,0.5,55.46579675,19.83047525,13.48018725,14.17475,14.0
192,I,1.375,1.0625,0.375,22.29688175,10.149121,4.3374735,6.520385,9.0
193,I,1.075,0.8,0.275,9.19941275,4.80524025,1.82854275,2.67902775,7.0
194,I,1.1875,0.875,0.325,14.0330025,5.4714535,2.50893075,4.3941725,8.0
195,M,1.5375,1.1875,0.375,32.95629375,16.42853525,7.0023265,7.767763,10.0
196,I,1.4,1.1125,0.3625,24.16794875,11.69416875,5.71242425,7.7961125,9.0
197,F,1.3125,1.0,0.3625,21.64484325,8.29222875,4.49339575,7.5126175,9.0
198,F,1.65,1.35,0.4625,42.2691045,11.9918385,8.391452,13.7495075,18.0
199,M,1.675,1.3125,0.4625,39.405805,18.5122235,8.43397625,10.0640725,14.0
200,F,1.475,1.1375,0.3625,26.1098895,10.149121,6.13766675,7.7961125,15.0
201,M,1.625,1.3125,0.4,42.354153,20.97863,9.525432,10.77281,11.0
202,M,1.425,1.125,0.3625,24.28134675,10.3475675,4.46504625,6.27941425,10.0
203,M,1.55,1.2125,0.5,34.68561325,15.46465225,7.66853975,10.0640725,10.0
204,M,0.8375,0.65,0.225,5.1312595,2.05533875,1.13398,1.70097,6.0
205,I,0.6875,0.5125,0.1875,3.67126025,1.54504775,0.83631025,0.9922325,7.0
206,I,0.95,0.6875,0.2375,7.597666,2.82077525,1.85689225,2.1262125,7.0
207,M,1.5625,1.25,0.425,35.777069,15.2803805,7.9662095,9.4970825,11.0
208,M,1.5875,1.2625,0.4,38.215126,20.2131935,7.3425205,9.59630575,11.0
209,I,0.45,0.325,0.125,0.89300925,0.35436875,0.35436875,0.3118445,4.0
210,M,1.525,1.2125,0.3875,35.25260325,15.06775925,7.98038425,9.7805775,13.0
211,F,1.7,1.3375,0.4625,50.35125425,23.40251225,5.62737575,13.04077,11.0
212,I,1.15,0.8625,0.2625,11.509897,4.7343665,2.438057,3.40194,7.0
213,F,1.6875,1.4,0.4875,47.173568,21.772416,10.19164525,12.47378,11.0
214,F,1.075,0.875,0.3125,12.813974,4.8477645,2.90582375,4.3941725,10.0
215,M,1.5625,1.2125,0.4125,34.6147395,13.5794105,7.24329725,10.64523725,14.0
216,F,1.4375,1.125,0.375,26.818627,10.98543125,5.85417175,7.10154975,12.0
217,F,1.6125,1.3,0.4625,37.03862175,15.592225,9.015141,11.056305,9.0
218,F,1.375,1.0875,0.375,25.457851,10.432616,6.0951425,7.7961125,12.0
219,I,1.175,0.9125,0.3,13.50853675,6.19436575,2.2963095,3.89805625,8.0
220,M,1.175,0.8875,0.2625,12.984071,5.443104,2.50893075,4.9611625,9.0
221,F,1.2875,1.0,0.425,24.59319125,12.6722265,6.16601625,7.087375,12.0
222,M,1.45,1.125,0.3,25.16018125,11.2547515,6.27941425,7.5126175,9.0
223,I,1.1,0.85,0.275,12.48795475,5.329706,2.4664065,3.38776525,8.0
224,M,1.6,1.3,0.475,39.745999,16.11669075,9.412034,12.4454305,10.0
225,F,1.55,1.225,0.3875,34.5013415,15.592225,6.4920355,8.788345,11.0
226,I,1.0625,0.8375,0.25,11.6516445,4.9611625,2.14038725,3.8271825,7.0
227,M,1.075,0.8375,0.2875,11.80756675,4.706017,2.6365035,3.40194,7.0
228,F,1.575,1.2,0.3625,32.13415825,14.628342,6.27941425,8.83086925,13.0
229,F,1.55,1.175,0.35,25.16018125,10.319218,6.0384435,7.087375,10.0
230,F,1.2125,0.9,0.3,14.38737125,5.9817445,3.86970675,4.3941725,9.0
231,F,1.7625,1.375,0.575,47.230267,18.32795175,8.71747125,20.128145,22.0
232,M,1.375,1.075,0.4125,23.51591025,11.8217415,7.0023265,6.747181,8.0
233,I,0.95,0.7625,0.275,8.71747125,3.96893,1.51669825,2.324659,7.0
234,I,1.4375,1.1,0.375,24.6924145,12.34620725,4.762716,6.633783,10.0
235,M,1.475,1.1375,0.375,30.43318825,12.8423235,6.25106475,7.7961125,10.0
236,M,1.375,1.0375,0.4125,23.700182,7.86698625,4.57844425,7.087375,12.0
237,F,1.125,0.8375,0.25,10.41844125,3.40194,2.5231055,3.8271825,14.0
238,I,1.0625,0.8125,0.3,10.44679075,4.66349275,2.65067825,2.9766975,9.0
239,I,1.125,0.8375,0.3625,13.90542975,5.0178615,3.1467945,4.252425,9.0
240,I,0.45,0.325,0.1,0.8221355,0.29766975,0.18427175,0.35436875,4.0
241,I,0.9,0.6625,0.225,6.0951425,2.1829115,1.00640725,1.8427175,6.0
242,I,0.9625,0.75,0.25,7.9662095,3.47281375,1.85689225,2.28213475,7.0
243,F,1.6,1.25,0.4125,35.4652245,14.401546,8.278054,10.20582,9.0
244,F,1.325,1.0625,0.4125,28.02348075,7.86698625,5.85417175,9.07184,13.0
245,F,1.4125,1.1125,0.4125,24.50814275,8.32057825,5.8116475,7.7961125,11.0
246,I,1.125,0.875,0.3,12.700576,5.10291,2.5231055,3.8271825,7.0
247,I,0.7875,0.575,0.225,3.6003865,1.7860185,1.06310625,1.2757275,6.0
248,F,1.6125,1.325,0.5,41.48949325,17.73261225,8.2497045,12.190285,11.0
249,M,1.2125,0.925,0.3,16.40018575,6.973977,3.33106625,4.9611625,10.0
250,M,1.1625,0.8875,0.3,14.3731965,6.8322295,2.9199985,4.3941725,12.0
251,F,1.4375,1.175,0.3625,24.36639525,12.79979925,4.989512,6.23689,10.0
252,M,1.675,1.3125,0.4875,46.13881125,23.926978,10.33339275,14.3164975,11.0
253,M,1.4,1.075,0.325,22.11261,9.2135875,4.32329875,6.6621325,10.0
254,M,1.2875,1.0125,0.3375,20.87940675,9.31281075,4.195726,5.10291,8.0
255,M,1.4125,1.1,0.3625,22.04173625,9.48290775,4.37999775,6.520385,9.0
256,M,1.4375,1.175,0.4125,27.499015,12.94154675,5.4714535,7.5126175,9.0
257,M,1.5625,1.225,0.3875,37.1094955,18.58309725,5.57067675,9.07184,8.0
258,F,1.3,1.0,0.35,17.53416575,6.16601625,4.40834725,5.6699,8.0
259,I,1.1125,0.8,0.275,12.47378,6.02426875,2.5231055,3.96893,8.0
260,M,0.4625,0.3375,0.1,0.8221355,0.283495,0.21262125,0.340194,6.0
261,M,1.5875,1.2375,0.4,35.13920525,15.03940975,8.37727725,9.2135875,8.0
262,I,0.7,0.525,0.1375,2.608154,0.9355335,0.56699,0.92135875,6.0
263,M,1.6125,1.275,0.4375,44.21104525,14.50076925,7.66853975,11.1980525,18.0
264,I,0.6875,0.525,0.15,2.8066005,1.0489315,0.32601925,0.850485,5.0
265,I,0.925,0.6875,0.25,6.123492,2.3530085,1.0489315,1.8427175,7.0
266,I,1.4375,1.1125,0.375,24.67823975,10.47514025,4.86193925,7.29999625,9.0
267,I,1.125,0.8375,0.3125,13.42348825,6.577084,2.438057,3.2601925,8.0
268,F,1.3125,1.0,0.3125,18.653971,8.32057825,4.53592,5.2446575,8.0
269,M,1.4,1.1125,0.3625,22.92057075,12.927372,4.422522,6.0951425,10.0
270,M,1.6375,1.3125,0.4375,38.952213,18.0586315,6.98815175,10.9712565,11.0
271,M,1.4,1.0875,0.425,25.174356,10.9712565,6.30776375,7.314171,10.0
272,F,1.55,1.25,0.3625,35.19590425,16.25843825,6.7755305,8.9300925,11.0
273,I,1.0875,0.8125,0.275,10.30504325,5.11708475,2.16873675,2.9766975,8.0
274,M,1.5875,1.25,0.4375,36.0889135,14.35902175,8.6465975,11.4815475,13.0
275,F,1.4375,1.125,0.35,25.92561775,11.0846545,4.309124,7.087375,8.0
276,I,1.125,0.9125,0.2625,13.437663,6.293589,2.62232875,3.96893,8.0
277,F,1.75,1.35,0.5125,57.606184,21.262125,12.48795475,20.5533875,16.0
278,M,1.4375,1.125,0.375,24.720764,12.757275,5.48562825,6.3219385,9.0
279,F,1.55,1.2,0.4375,38.215126,16.68368075,7.654365,11.5949455,11.0
280,F,1.65,1.325,0.4375,43.02036625,16.54193325,7.86698625,11.7650425,18.0
281,F,1.4625,1.175,0.4125,31.39707125,13.79203175,7.1724235,8.6465975,13.0
282,F,1.6625,1.3,0.4375,38.68289275,17.519991,7.6827145,10.47514025,9.0
283,F,1.2375,0.95,0.3625,15.87572,5.85417175,3.4869885,4.6776675,8.0
284,I,1.3125,1.0,0.3875,20.0997955,9.08601475,5.1312595,5.953395,9.0
285,F,1.175,0.925,0.3,15.2236815,7.711064,2.93417325,4.26659975,9.0
286,I,1.175,0.9125,0.325,15.06775925,7.087375,3.27436725,3.7137845,9.0
287,I,0.9375,0.6875,0.2125,7.44174375,3.515338,1.587572,1.984465,6.0
288,M,1.5375,1.175,0.4375,27.1304715,9.865626,5.25883225,10.0640725,15.0
289,I,1.2625,0.95,0.325,18.030282,8.164656,3.7704835,4.3941725,9.0
290,F,1.4875,1.1875,0.4125,31.19862475,11.66581925,6.690482,10.489315,12.0
291,M,1.375,1.0875,0.3875,26.46425825,9.2135875,5.556502,8.74582075,15.0
292,I,1.025,0.8125,0.2375,10.716111,4.32329875,1.6159215,2.494756,7.0
293,I,1.15,0.8625,0.225,12.133586,5.03203625,2.42388225,3.5436875,9.0
294,I,0.7125,0.525,0.1875,3.67126025,1.26155275,0.83631025,0.850485,6.0
295,F,1.5125,1.2,0.4375,31.2694985,15.592225,5.74077375,9.865626,12.0
296,M,1.5,1.1875,0.375,31.411246,15.37960375,6.93145275,6.9456275,9.0
297,F,1.525,1.2,0.4125,35.19590425,18.63979625,7.44174375,8.9300925,10.0
298,M,1.625,1.275,0.4375,38.612019,16.6978555,8.12213175,11.3398,15.0
299,I,1.0875,0.85,0.275,11.7650425,5.1312595,2.25378525,3.685435,9.0
300,I,0.8375,0.65,0.2,5.443104,2.2963095,1.40330025,1.5592225,7.0
301,I,1.225,0.9875,0.3125,16.23008875,7.5126175,3.61456125,4.9611625,9.0
302,F,1.15,0.8875,0.3,12.7289255,5.74077375,2.4097075,4.1106775,12.0
303,I,1.3,1.0375,0.35,20.0430965,9.36950975,3.95475525,4.932813,8.0
304,I,1.175,0.95,0.3125,16.23008875,7.087375,3.04757125,4.6776675,8.0
305,M,1.55,1.225,0.375,29.5118295,12.133586,7.3992195,8.6465975,9.0
306,F,1.35,1.0125,0.3625,21.885814,8.46232575,5.10291,7.087375,12.0
307,F,1.75,1.3875,0.4875,62.3972495,30.09299425,11.35397475,15.12445825,12.0
308,I,1.125,0.85,0.2625,14.58581775,5.85417175,3.01922175,3.75630875,7.0
309,M,1.6125,1.25,0.4125,33.29648775,13.891255,6.747181,9.6104805,15.0
310,F,1.3,1.0125,0.35,21.58814425,7.41339425,4.3374735,6.3786375,10.0
311,M,1.525,1.175,0.3875,32.1199835,14.7133905,6.64795775,8.9300925,11.0
312,I,0.95,0.6875,0.225,7.10154975,3.86970675,1.51669825,2.1262125,6.0
313,I,0.7,0.5125,0.25,3.1467945,1.54504775,0.80796075,1.13398,7.0
